Nombre del archivo,Placa,Placa detectada,errores,similaridad
"S1,CAM2,250212141252813,3491KNF,10000.jpg",3491KNF,3491KNF,[],1.0
"S1,CAM2,250212141524680,1023JPK,9646.jpg",1023JPK,1023JPK,[],1.0
"S1,CAM2,250212141236704,8898JZN,9978.jpg",8898JZN,8898JZN,[],1.0
"S1,CAM2,250212141113365,3627LLX,10000.jpg",3627LLX,3627LLX,[],1.0
"S1,CAM2,250212161214236,6764MPG,9976.jpg",6764MPG,6764MPG,[],1.0
"S1,CAM2,250212161235844,5998MLX,9854.jpg",5998MLX,5998MLX,[],1.0
"E1,CAM1,250211113331370,4508LNP,9203.jpg",4508LNP,4408NPY,"['5->4', 'L->N', 'N->P', 'P->Y']",0.7142857142857143
"E1,CAM1,250211094900369,1236HJF,10000.jpg",1236HJF,236HJ,"['1->2', '2->3', '3->6', '6->H', 'H->J', 'J-> ', 'F-> ']",0.8333333333333334
"E1,CAM1,250211093523443,5361KNT,9962.jpg",5361KNT,5361LNT,['K->L'],0.8571428571428571
"E1,CAM1,250211092124549,2538LPW,9998.jpg",2538LPW,LPW22538,"['2->L', '5->P', '3->W', '8->2', 'L->2', 'P->5', 'W->3', '->8)']",0.5333333333333333
"E1,CAM1,250211112657984,4545LMG,9979.jpg",4545LMG,4545LMG,[],1.0
"E1,CAM1,250211090850870,3491KNF,10000.jpg",3491KNF,3491KNF,[],1.0
"E1,CAM1,250211115356947,0442HXD,9954.jpg",0442HXD,0442HXD,[],1.0
"E1,CAM1,250211100504491,6822HXW,9999.jpg",6822HXW,6822HXH,['W->H'],0.8571428571428571
"E1,CAM1,250211103422727,0416HMP,9783.jpg",0416HMP,0416HMP,[],1.0
"E1,CAM1,250211111720155,4276JJZ,9999.jpg",4276JJZ,4276JJZ,[],1.0
"E1,CAM1,250211111823386,7715KLT,9996.jpg",7715KLT,7715KLH,['T->H'],0.8571428571428571
"E1,CAM1,250211111307621,8118JBB,9972.jpg",8118JBB,8118JBB,[],1.0
"E1,CAM1,250211100445148,5226BJY,8832.jpg",5226BJY,5736BJY,"['2->7', '2->3']",0.7142857142857143
"E1,CAM1,250211104508115,0674MRX,9995.jpg",0674MRX,0674MRX,[],1.0
"E1,CAM1,250211102223608,6598HSH,9730.jpg",6598HSH,6590HSH,['8->0'],0.8571428571428571
"E1,CAM1,250211113127033,9958GVD,9737.jpg",9958GVD,9958GVB,['D->B'],0.8571428571428571
"E1,CAM1,250211102026818,A9986T,9600.jpg",A9986T,4998GTL,"['A->4', '6->G', '->L)']",0.6153846153846154
"E1,CAM1,250211084626206,5767GXJ,9998.jpg",5767GXJ,6767GXJ,['5->6'],0.8571428571428571
"E1,CAM1,250211101308215,3773CXY,10000.jpg",3773CXY,8773CXY,['3->8'],0.8571428571428571
"E1,CAM1,250211112532098,4468BLF,9911.jpg",4468BLF,4468BLF,[],1.0
"E1,CAM1,250211083428634,4980CBL,9957.jpg",4980CBL,2980CBL,['4->2'],0.8571428571428571
"E1,CAM1,250211081017756,6539DDG,9966.jpg",6539DDG,6539DDG,[],1.0
"E1,CAM1,250211084805247,6525CPD,9806.jpg",6525CPD,CPP6325,"['6->C', '5->P', '2->P', '5->6', 'C->3', 'P->2', 'D->5']",0.42857142857142855
"E1,CAM1,250211081326731,2952LVK,9985.jpg",2952LVK,2952LVK,[],1.0
"E1,CAM1,250211063016382,4213DYK,9999.jpg",4213DYK,4213DYK,[],1.0
"E1,CAM1,250211094142392,6365DDC,9986.jpg",6365DDC,6365DDC,[],1.0
"E1,CAM1,250211085849276,9611JNZ,9977.jpg",9611JNZ,96TUUNZ,"['1->T', '1->U', 'J->U']",0.5714285714285714
"E1,CAM1,250211090310278,5429HWM,9993.jpg",5429HWM,5429HHM,['W->H'],0.8571428571428571
"E1,CAM1,250211080535209,3178KRW,9979.jpg",3178KRW,3178KRM,['W->M'],0.8571428571428571
"E1,CAM1,250211085027724,6936DLY,9983.jpg",6936DLY,DLY6936,"['6->D', '9->L', '3->Y', 'D->9', 'L->3', 'Y->6']",0.5714285714285714
"E1,CAM1,250211084352948,9204JXY,9966.jpg",9204JXY,0924JXY,"['9->0', '2->9', '0->2']",0.8571428571428571
"E1,CAM1,250211084749201,5860GLD,9915.jpg",5860GLD,5860GD,"['L->D', 'D-> ']",0.9230769230769231
"E1,CAM1,250211091800076,7562JPY,9997.jpg",7562JPY,7562JPY,[],1.0
"E1,CAM1,250211081917994,4885BXR,9788.jpg",4885BXR,4885BXR,[],1.0
"E1,CAM1,250211075430837,3474FTR,9998.jpg",3474FTR,3474FTR,[],1.0
"E1,CAM1,250211080252514,GC4532CB,9996.jpg",GC4532CB,4532CCB,"['G->4', 'C->5', '4->3', '5->2', '3->C', '2->C', 'C->B', 'B-> ']",0.8
"E1,CAM1,250211081440727,4539JXL,9857.jpg",4539JXL,4339JXL,['5->3'],0.8571428571428571
"E1,CAM1,250211094123252,6365DDC,9992.jpg",6365DDC,6385DDC,['6->8'],0.8571428571428571
"E1,CAM1,250211090514694,0242KKC,9991.jpg",0242KKC,0242KKC,[],1.0
"E1,CAM1,250211091639174,5843CWG,9992.jpg",5843CWG,5843CLG,['W->L'],0.8571428571428571
"E1,CAM1,250211093415587,O2806T,9642.jpg",O2806T,0280GT,"['O->0', '6->G']",0.6666666666666666
"E1,CAM1,250211075704376,7481GYS,9908.jpg",7481GYS,0008VTG,"['7->0', '4->0', '8->0', '1->8', 'G->V', 'Y->T', 'S->G']",0.2857142857142857
"E1,CAM1,250211083828465,9331JJS,9984.jpg",9331JJS,0933JJS,"['9->0', '3->9', '1->3']",0.8571428571428571
"E1,CAM1,250211085304982,9958GVD,9712.jpg",9958GVD,9958GVB,['D->B'],0.8571428571428571
"E1,CAM1,250211090405666,7776DWZ,10000.jpg",7776DWZ,7776DIIZ,"['W->I', 'Z->I', '->Z)']",0.8
"E1,CAM1,250211085838621,6433JYW,9998.jpg",6433JYW,6433JYM,['W->M'],0.8571428571428571
"E1,CAM1,250211085013491,2722CHT,10000.jpg",2722CHT,2722CHI,['T->I'],0.8571428571428571
"E1,CAM1,250211090328902,3903CGY,9945.jpg",3903CGY,CGY3903,"['3->C', '9->G', '0->Y', 'C->9', 'G->0', 'Y->3']",0.5714285714285714
"E1,CAM1,250211091034349,8025KBP,9986.jpg",8025KBP,8025KBP,[],1.0
